                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.62623,                0.54655,                 1.0507,                0.98287,                   0.75,                0.78464,                0.56722,                 1.0882,                0.84038,                 2.0272,               0.004555,               0.004555,               0.004555
                     57,                0.62107,                0.50083,                 1.0302,                0.97998,                   0.75,                 0.8245,                0.61834,                 1.0283,                 0.6981,                 1.8772,               0.004456,               0.004456,               0.004456
                     58,                0.62678,                0.52254,                 1.0357,                0.87363,                0.86543,                0.87088,                0.64789,                0.94069,                0.55568,                 1.7508,               0.004357,               0.004357,               0.004357
                     59,                  0.607,                0.51833,                 1.0292,                      1,                0.87224,                0.88785,                0.68894,                 0.7868,                0.54498,                 1.6174,               0.004258,               0.004258,               0.004258
                     60,                0.59818,                0.53226,                 1.0347,                0.85424,                0.73474,                0.77548,                0.69844,                0.66066,                0.77944,                 1.3397,               0.004159,               0.004159,               0.004159
                     61,                0.60188,                0.51553,                 1.0388,                0.74346,                   0.75,                0.74881,                0.66122,                0.94369,                0.88332,                 1.6877,                0.00406,                0.00406,                0.00406
                     62,                0.61368,                0.49494,                  1.028,                0.87031,                0.84214,                0.91232,                0.70659,                 0.8336,                0.60917,                 1.6121,               0.003961,               0.003961,               0.003961
                     63,                0.57736,                0.48807,                0.99756,                0.91367,                  0.625,                0.70605,                0.65547,                0.79411,                0.73673,                 1.5653,               0.003862,               0.003862,               0.003862
                     64,                0.58189,                0.47786,                0.99505,                      1,                0.84615,                0.88785,                0.71216,                0.85817,                0.66946,                 1.6848,               0.003763,               0.003763,               0.003763
                     65,                0.65257,                0.61814,                  1.086,                0.96347,                  0.875,                0.89485,                0.70204,                0.81723,                0.47482,                 1.6209,               0.003664,               0.003664,               0.003664
                     66,                 0.5895,                0.47982,                0.99942,                0.83329,                   0.75,                0.75223,                0.63676,                 0.9091,                0.59015,                 1.6657,               0.003565,               0.003565,               0.003565
                     67,                0.56228,                0.44841,                 1.0009,                0.82271,                   0.75,                0.74346,                0.63907,                0.79544,                0.60347,                  1.503,               0.003466,               0.003466,               0.003466
                     68,                0.53627,                0.44295,                0.98947,                0.85362,                  0.875,                0.84982,                0.67729,                0.93339,                0.69042,                 1.8103,               0.003367,               0.003367,               0.003367
                     69,                0.52987,                0.42401,                 0.9977,                0.83859,                   0.75,                0.73682,                 0.6446,                0.90855,                0.72359,                 1.7012,               0.003268,               0.003268,               0.003268
                     70,                0.55766,                0.46628,                 1.0081,                0.73653,                   0.75,                0.73067,                0.59539,                0.91777,                0.69709,                  1.697,               0.003169,               0.003169,               0.003169
                     71,                0.54507,                0.44222,                0.98244,                 0.7725,                  0.875,                0.84539,                0.62795,                0.89245,                 0.7261,                  1.648,                0.00307,                0.00307,                0.00307
                     72,                0.54492,                0.45232,                0.99532,                 0.8889,                  0.625,                 0.7495,                0.61097,                0.86324,                0.69157,                 1.5504,               0.002971,               0.002971,               0.002971
                     73,                0.57749,                0.46385,                 1.0215,                0.73894,                   0.75,                0.69067,                0.60992,                 1.1104,                0.62943,                  1.932,               0.002872,               0.002872,               0.002872
                     74,                0.52766,                0.43937,                 1.0104,                0.91697,                  0.625,                0.76355,                0.65731,                  1.027,                0.76038,                 1.7231,               0.002773,               0.002773,               0.002773
                     75,                0.53359,                0.45625,                 1.0145,                      1,                 0.5858,                0.74845,                  0.682,                0.73593,                0.73668,                 1.3936,               0.002674,               0.002674,               0.002674
                     76,                0.60607,                0.45483,                 1.0364,                      1,                0.57547,                  0.747,                0.67335,                0.85325,                0.72653,                 1.5335,               0.002575,               0.002575,               0.002575
                     77,                0.54127,                0.43055,                 1.0157,                0.66142,                   0.75,                 0.7344,                0.68419,                0.90634,                0.58907,                 1.6949,               0.002476,               0.002476,               0.002476
                     78,                0.51511,                0.42248,                0.99208,                0.74236,                0.72327,                0.74783,                0.64562,                 0.8586,                0.58039,                 1.6818,               0.002377,               0.002377,               0.002377
                     79,                0.63254,                0.51744,                 1.0536,                0.65979,                   0.75,                 0.7362,                0.64118,                 0.8504,                0.64932,                 1.6361,               0.002278,               0.002278,               0.002278
                     80,                0.52369,                0.39712,                0.98116,                0.72801,                   0.75,                 0.6854,                 0.6002,                 0.9031,                0.59063,                 1.6498,               0.002179,               0.002179,               0.002179
                     81,                0.48485,                0.41041,                0.96695,                0.72799,                   0.75,                0.70879,                0.61571,                0.91398,                0.60116,                  1.617,                0.00208,                0.00208,                0.00208
                     82,                0.51284,                0.40604,                0.98156,                0.64663,                   0.75,                0.70849,                0.61828,                0.93169,                 0.6906,                 1.6086,               0.001981,               0.001981,               0.001981
                     83,                0.48921,                0.39934,                0.98348,                0.71054,                  0.875,                  0.826,                0.64877,                0.92487,                 0.7802,                 1.6085,               0.001882,               0.001882,               0.001882
                     84,                0.47138,                0.38107,                0.95405,                0.72564,                  0.875,                0.83504,                0.60709,                 1.0818,                0.95782,                 1.7387,               0.001783,               0.001783,               0.001783
                     85,                0.47604,                0.39827,                0.97787,                 0.7024,                   0.75,                 0.7475,                0.62852,                0.97756,                0.74592,                  1.574,               0.001684,               0.001684,               0.001684
                     86,                0.48522,                0.39794,                0.97579,                0.83237,                  0.875,                0.87774,                0.66947,                0.93996,                0.80352,                 1.5762,               0.001585,               0.001585,               0.001585
                     87,                0.47556,                0.37998,                0.97057,                0.86365,                   0.75,                0.87695,                0.66597,                0.83941,                0.73286,                  1.498,               0.001486,               0.001486,               0.001486
                     88,                0.45605,                0.37396,                0.97017,                0.87126,                0.84884,                0.90239,                0.65429,                0.81424,                0.75591,                 1.5187,               0.001387,               0.001387,               0.001387
                     89,                0.48282,                0.41544,                0.99183,                0.86901,                0.83305,                0.89567,                0.67232,                0.86908,                0.67754,                 1.5871,               0.001288,               0.001288,               0.001288
